MaximumDailyRainfall,Date,NumberOfRainfallDay,TotalRainfallInMonth
24.5,2010-01,10,69.5
2.9,2010-02,4,6.3
57.6,2010-03,11,238
40,2010-04,18,158.5
90.5,2010-05,17,157.5
43,2010-06,19,240.5
121.1,2010-07,18,298.5
60.2,2010-08,16,158.4
28,2010-09,13,121.5
58.1,2010-10,17,166.2
41.6,2010-11,21,278.8
85.8,2010-12,14,181.4
216.2,2011-01,17,513.2
17.4,2011-02,8,23
54,2011-03,22,256.6
61.8,2011-04,12,217.8
34.2,2011-05,15,127
82,2011-06,15,213
30,2011-07,7,76.6
30.2,2011-08,13,81.4
40.4,2011-09,14,136.4
54,2011-10,20,216.8
78.6,2011-11,24,377.8
87.4,2011-12,21,284.6
26.2,2012-01,16,106.1
38.4,2012-02,11,83.6
92.3,2012-03,21,313.4
48.4,2012-04,20,260.6
79.2,2012-05,19,292
38.2,2012-06,8,53
35.4,2012-07,17,130.8
31,2012-08,12,119
35.8,2012-09,10,107.6
22.6,2012-10,13,122.2
49.2,2012-11,22,208.2
78.8,2012-12,22,363.4
73,2013-01,15,262
95.2,2013-02,22,395.2
29.6,2013-03,10,85.8
41.6,2013-04,19,159.4
46.2,2013-05,17,211.4
22.4,2013-06,12,111.4
37.4,2013-07,15,174.6
43.2,2013-08,15,165.6
52.6,2013-09,19,257
139.8,2013-10,19,285.4
44,2013-11,22,292.4
119.8,2013-12,21,348.2
31.2,2014-01,5,75.4
0.2,2014-02,1,0.2
52.6,2014-03,6,66
28.8,2014-04,17,110
22.2,2014-05,18,125.8
18.8,2014-06,11,71.4
29,2014-07,15,148.6
44.2,2014-08,20,241
34.6,2014-09,9,83.6
32.8,2014-10,10,120
64.4,2014-11,23,250.8
48.2,2014-12,17,245.6
33.6,2015-01,6,79.6
10.8,2015-02,6,18.8
46,2015-03,5,84.4
18.8,2015-04,13,73.2
22.2,2015-05,12,89
28.4,2015-06,10,95.8
45.8,2015-07,13,116.8
63.2,2015-08,11,185.8
18.4,2015-09,8,61.6
28.6,2015-10,9,87.2
25.8,2015-11,13,72.6
40.4,2015-12,19,302.3
39.6,2016-01,15,126.6
71.8,2016-02,10,186
2.4,2016-03,6,6.2
18.2,2016-04,14,89.8
54.8,2016-05,12,193.8
67.8,2016-06,13,162.8
59.4,2016-07,20,168.6
30.6,2016-08,15,139.2
34,2016-09,15,118.9
75.4,2016-10,16,181
65.6,2016-11,20,290.2
73,2016-12,23,292.6
60.6,2017-01,21,197.6
31,2017-02,15,158.4
30.2,2017-03,11,136.2
42.8,2017-04,21,208.6
44.8,2017-05,15,190
29.6,2017-06,10,106
30.2,2017-07,9,79.6
29.4,2017-08,18,84.2
20.2,2017-09,19,124.4
31.2,2017-10,18,120.8
45.2,2017-11,24,268.6
69.8,2017-12,23,371.2
45.8,2018-01,25,287
13,2018-02,5,14.8
15.2,2018-03,10,44.6
14,2018-04,14,61.2
47.4,2018-05,19,132.2
46.8,2018-06,17,182.6
32.4,2018-07,10,143.2
34.6,2018-08,11,121.6
45,2018-09,13,144.4
60.6,2018-10,18,234.4
20.6,2018-11,27,169.6
43.8,2018-12,19,172.6
38.2,2019-01,9,63.6
13.4,2019-02,5,31.6
29,2019-03,6,72.2
52.4,2019-04,9,174.8
17.2,2019-05,13,69
37.6,2019-06,16,173.8
6.6,2019-07,8,12.2
3.8,2019-08,6,11.8
16.4,2019-09,4,22.8
92.2,2019-10,15,176.8
73.4,2019-11,15,137.4
74.2,2019-12,14,421.5
38,2020-01,6,88.4
23.8,2020-02,8,65
47.4,2020-03,8,108.8
51.8,2020-04,12,188
53.8,2020-05,16,255.6
41,2020-06,21,233.8
30.4,2020-07,22,140.8
34.6,2020-08,12,103.4
32.8,2020-09,18,150.2
19,2020-10,16,78.8
64.2,2020-11,19,220.6
58.2,2020-12,20,253.2
210.6,2021-01,17,692.8
