Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-20,-34,-6,-40,-15,-6,-100,-61,-20,-24,-6,-2,-8,35
1881,-11,-19,-3,-29,-1,-6,-59,-45,-14,-4,2,-6,-3,33
1882,-9,-18,-1,-23,-9,4,-127,-24,-3,-10,-8,3,8,37
1883,-20,-30,-9,-35,-21,-2,-25,-61,-20,-23,-19,-1,0,33
1884,-27,-41,-13,-56,-17,-12,-122,-60,-41,-20,-14,-14,-5,36
1885,-30,-39,-21,-59,-17,-20,-106,-69,-43,-10,-23,-26,-7,34
1886,-30,-38,-22,-48,-24,-20,-111,-45,-38,-23,-24,-17,-21,24
1887,-33,-37,-29,-46,-27,-27,-145,-55,-21,-24,-31,-23,-29,17
1888,-20,-23,-17,-42,6,-34,-131,-45,-23,6,7,-29,-38,12
1889,-11,-16,-6,-25,4,-17,-74,-17,-21,-1,10,-15,-17,15
1890,-36,-39,-33,-44,-38,-26,-120,-44,-29,-33,-43,-16,-40,0
1891,-24,-24,-24,-35,-16,-24,-119,-23,-26,-7,-25,-20,-28,5
1892,-27,-32,-22,-31,-31,-16,-125,-34,-12,-32,-30,-3,-34,1
1893,-30,-40,-19,-38,-40,-7,-81,-38,-30,-43,-37,4,-22,-2
1894,-31,-38,-23,-27,-39,-22,-127,-19,-8,-54,-24,-15,-32,-16
1895,-21,-27,-15,-33,-14,-19,-87,-37,-16,-19,-9,-20,-13,-5
1896,-15,-21,-8,-33,2,-18,-122,-36,-10,-2,7,-15,-22,-1
1897,-11,-12,-10,-29,16,-28,-69,-31,-17,14,18,-20,-37,0
1898,-28,-26,-30,-26,-28,-29,-116,-2,-19,-26,-30,-26,-30,4
1899,-15,-16,-15,-16,-13,-18,-95,5,-10,-15,-12,-13,-23,9
1900,-9,-3,-14,-11,12,-35,-50,-3,-6,8,17,-31,-38,8
1901,-14,-8,-21,-10,-6,-30,-46,0,-7,-4,-8,-30,-26,-3
1902,-27,-29,-24,-47,-6,-34,-149,-40,-25,-3,-10,-27,-42,2
1903,-35,-34,-36,-39,-33,-35,-41,-30,-45,-27,-39,-37,-25,-58
1904,-44,-45,-43,-45,-47,-40,-25,-53,-46,-44,-49,-36,-39,-125
1905,-27,-27,-28,-37,-12,-38,-15,-16,-55,-12,-13,-38,-34,-36
1906,-22,-19,-24,-20,-21,-25,-30,2,-32,-19,-23,-24,-22,-65
1907,-40,-46,-33,-56,-34,-30,-71,-70,-44,-31,-38,-25,-31,-117
1908,-43,-45,-41,-46,-47,-34,-42,-51,-45,-44,-52,-31,-38,66
1909,-47,-47,-47,-47,-52,-41,-74,-50,-38,-48,-56,-39,-41,-48
1910,-42,-43,-42,-36,-54,-33,-69,-14,-42,-52,-56,-33,-32,27
1911,-44,-40,-48,-38,-46,-48,-34,-36,-41,-44,-49,-43,-54,15
1912,-35,-46,-23,-57,-21,-31,-64,-71,-47,-29,-12,-37,-13,-153
1913,-34,-41,-26,-40,-31,-32,-53,-28,-45,-43,-18,-29,-31,-92
1914,-16,-18,-14,-22,-8,-21,-52,-7,-23,-11,-4,-17,-23,-32
1915,-11,-9,-12,-17,0,-19,-54,-7,-12,3,-2,-11,-23,-198
1916,-34,-36,-32,-29,-45,-23,-33,-44,-19,-46,-44,-23,-17,-120
