Entity,Code,Year,"Death","Birth","Population",Continent
China,CHN,1960,25.43,20.86,660408000,
China,CHN,1961,14.24,18.02,670953024,
China,CHN,1962,10.02,37.01,682102976,
China,CHN,1963,10.04,43.37,694339008,
China,CHN,1964,11.5,39.14,708254976,
China,CHN,1965,9.5,37.88,724219008,
China,CHN,1966,8.83,35.05,742414976,
China,CHN,1967,8.43,33.96,762580992,
China,CHN,1968,8.21,35.59,784075008,
China,CHN,1969,8.03,34.11,805985984,
China,CHN,1970,7.6,33.43,827601024,
China,CHN,1971,7.32,30.65,848760000,
China,CHN,1972,7.61,29.77,869486016,
China,CHN,1973,7.04,27.93,889484992,
China,CHN,1974,7.34,24.82,908464000,
China,CHN,1975,7.32,23.01,926241024,
China,CHN,1976,7.25,19.91,942684992,
China,CHN,1977,6.87,18.93,957891008,
China,CHN,1978,6.25,18.25,972204992,
China,CHN,1979,6.21,17.82,986131968,
China,CHN,1980,6.34,18.21,1000089024,
China,CHN,1981,6.36,20.91,1014022016,
China,CHN,1982,6.6,22.28,1027948992,
China,CHN,1983,6.9,20.19,1042430976,
China,CHN,1984,6.82,19.9,1058172032,
China,CHN,1985,6.78,21.04,1075588992,
China,CHN,1986,6.86,22.43,1095014016,
China,CHN,1987,6.72,23.33,1116094976,
China,CHN,1988,6.64,22.37,1137724032,
China,CHN,1989,6.54,21.58,1158356992,
China,CHN,1990,6.67,21.06,1176883968,
China,CHN,1991,6.7,19.68,1192897024,
China,CHN,1992,6.64,18.27,1206711040,
China,CHN,1993,6.64,18.09,1218817024,
China,CHN,1994,6.49,17.7,1230019968,
China,CHN,1995,6.57,17.12,1240920960,
China,CHN,1996,6.56,16.98,1251635968,
China,CHN,1997,6.51,16.57,1261996032,
China,CHN,1998,6.5,15.64,1271981952,
China,CHN,1999,6.46,14.64,1281515008,
China,CHN,2000,6.45,14.03,1290551040,
China,CHN,2001,6.43,13.38,1299129984,
China,CHN,2002,6.41,12.86,1307352064,
China,CHN,2003,6.4,12.41,1315303936,
China,CHN,2004,6.42,12.29,1323085056,
China,CHN,2005,6.51,12.4,1330776064,
China,CHN,2006,6.81,12.09,1338408960,
China,CHN,2007,6.93,12.1,1345993984,
China,CHN,2008,7.06,12.14,1353569024,
China,CHN,2009,7.08,12.13,1361169024,
China,CHN,2010,7.11,11.9,1368811008,
China,CHN,2011,7.14,11.93,1376498048,
China,CHN,2012,7.15,12.1,1384205952,
China,CHN,2013,7.16,12.08,1391883008,
China,CHN,2014,7.16,12.37,1399453952,
China,CHN,2015,7.11,12.07,1406848000,Asia
China,CHN,2016,7.3,12,1414049024,
