Year,"Death","Birth"
1960,"25.43","20.86"
1961,"14.24","18.02"
1962,"10.02","37.01"
1963,"10.04","43.37"
1964,"11.5","39.14"
1965,"9.5","37.88"
1966,"8.83","35.05"
1967,"8.43","33.96"
1968,"8.21","35.59"
1969,"8.03","34.11"
1970,"7.6","33.43"
1971,"7.32","30.65"
1972,"7.61","29.77"
1973,"7.04","27.93"
1974,"7.34","24.82"
1975,"7.32","23.01"
1976,"7.25","19.91"
1977,"6.87","18.93"
1978,"6.25","18.25"
1979,"6.21","17.82"
1980,"6.34","18.21"
1981,"6.36","20.91"
1982,"6.6","22.28"
1983,"6.9","20.19"
1984,"6.82","19.9"
1985,"6.78","21.04"
1986,"6.86","22.43"
1987,"6.72","23.33"
1988,"6.64","22.37"
1989,"6.54","21.58"
1990,"6.67","21.06"
1991,"6.7","19.68"
1992,"6.64","18.27"
1993,"6.64","18.09"
1994,"6.49","17.7"
1995,"6.57","17.12"
1996,"6.56","16.98"
1997,"6.51","16.57"
1998,"6.5","15.64"
1999,"6.46","14.64"
2000,"6.45","14.03"
2001,"6.43","13.38"
2002,"6.41","12.86"
2003,"6.4","12.41"
2004,"6.42","12.29"
2005,"6.51","12.4"
2006,"6.81","12.09"
2007,"6.93","12.1"
2008,"7.06","12.14"
2009,"7.08","12.13"
2010,"7.11","11.9"
2011,"7.14","11.93"
2012,"7.15","12.1"
2013,"7.16","12.08"
2014,"7.16","12.37"
2015,"7.11","12.07"
2016,"7.3","12"
