Year,"Death","Birth"
1960,"7.6","17.3"
1961,"7.4","17"
1962,"7.5","17.1"
1963,"7","17.4"
1964,"6.9","17.8"
1965,"7.1","18.7"
1966,"6.8","13.8"
1967,"6.7","19.4"
1968,"6.8","18.7"
1969,"6.8","18.5"
1970,"6.9","18.7"
1971,"6.5","19.1"
1972,"6.4","19.2"
1973,"6.6","19.4"
1974,"6.4","18.4"
1975,"6.2","17"
1976,"6.2","16.2"
1977,"6","15.4"
1978,"6","14.8"
1979,"5.9","14.1"
1980,"6.1","13.5"
1981,"6.1","13"
1982,"6","12.8"
1983,"6.2","12.7"
1984,"6.2","12.5"
1985,"6.2","11.9"
1986,"6.2","11.4"
1987,"6.7","11.1"
1988,"6.5","10.8"
1989,"6.4","10.2"
1990,"6.7","10"
1991,"6.7","9.9"
1992,"6.9","9.8"
1993,"7.1","9.6"
1994,"7.1","10"
1995,"7.41","9.54"
1996,"7.1","9.6"
1997,"7.3","9.5"
1998,"7.5","9.6"
1999,"7.8","9.3"
2000,"7.7","9.4"
2001,"7.7","9.3"
2002,"8.1","9.3"
2003,"8.4","9.2"
2004,"8.05085979508934","8.69360456470183"
2005,"8.5307537586188","8.4132922190743"
2006,"8.53","8.65"
2007,"8.71","8.63"
2008,"9.1","8.7"
2009,"9.1","8.5"
2010,"9.5","8.5"
2011,"9.9","8.3"
2012,"10","8.2"
2013,"10.1","8.2"
2014,"10.1","8"
2015,"10.3","8"
2016,"10.5","7.8"
