Year,"Death","Birth"
1960,"8.304","23.788"
1961,"8.176","22.734"
1962,"8.099","21.543"
1963,"8.068","20.257"
1964,"8.081","18.936"
1965,"8.132","17.676"
1966,"8.221","16.579"
1967,"8.343","15.707"
1968,"8.493","15.098"
1969,"8.664","14.761"
1970,"8.851","14.671"
1971,"9.051","14.769"
1972,"9.26","14.962"
1973,"9.474","15.17"
1974,"9.69","15.357"
1975,"9.907","15.51"
1976,"10.126","15.641"
1977,"10.348","15.782"
1978,"10.568","15.952"
1979,"10.8","15.8"
1980,"11","15.9"
1981,"10.9","16"
1982,"10.7","16.6"
1983,"11.1","17.5"
1984,"11.6","16.9"
1985,"11.3","16.6"
1986,"10.4","17.2"
1987,"10.5","17.2"
1988,"10.7","16"
1989,"10.7","14.6"
1990,"11.2","13.4"
1991,"11.4","12.1"
1992,"12.2","10.7"
1993,"14.5","9.4"
1994,"15.7","9.5"
1995,"15","9.3"
1996,"14.2","8.9"
1997,"13.8","8.6"
1998,"13.5","8.8"
1999,"14.6","8.3"
2000,"15.3","8.7"
2001,"15.6","9.1"
2002,"15.4","9.8"
2003,"16.4","10.2"
2004,"16","10.4"
2005,"16.1","10.2"
2006,"15.2","10.4"
2007,"14.6","11.3"
2008,"14.5","12"
2009,"14.1","12.3"
2010,"14.2","12.5"
2011,"13.5","12.6"
2012,"13.3","13.3"
2013,"13","13.2"
2014,"13.1","13.3"
2015,"13","13.3"
2016,"12.9","12.9"
